gene	M_1	M_2	M_3	O_1	O_2	O_3	WT_1	WT_2	WT_3
AT3G05440	0	0	0	0	0	2	0	0	0
AT3G05445	2	0	0	0	0	0	0	0	0
AT3G05450	2	0	0	0	0	0	0	0	0
AT3G05455	0	0	0	0	0	0	0	0	0
AT3G05460	0	0	0	14	0	0	0	0	0
AT3G05465	1	0	1	0	0	0	0	0	0
AT3G05470	392	60	284	41	43	24	22	85	14
AT3G05475	0	0	0	0	0	0	0	0	0
AT3G05480	72	26	40	24	39	8	6	19	15
AT3G05485	0	0	0	0	0	0	0	0	1
AT3G05490	1773	1336	1870	4149	2555	2761	1393	1332	1766
AT3G05495	26	20	12	29	20	16	8	12	17
AT3G05500	572	773	668	1091	3077	1368	5069	3536	3354
AT3G05505	0	0	0	0	0	0	0	0	0
AT3G05510	256	282	274	128	89	99	32	93	68
AT3G05515	0	0	0	0	0	0	0	0	0
AT3G05520	710	706	702	635	661	624	536	578	631
AT3G05525	1	0	1	0	0	0	0	0	1
AT3G05530	3397	4058	3696	2422	2387	2257	2165	2266	2362
AT3G05535	0	0	0	0	0	0	0	0	0
AT3G05540	0	0	0	0	0	0	0	0	0
AT3G05545	1619	2260	2414	1984	1680	1540	1983	1815	1717
AT3G05550	3	10	10	10	5	5	22	7	17
AT3G05555	0	0	0	0	0	0	0	0	0
AT3G05560	4446	2989	3743	1857	1384	755	1713	3246	1535
AT3G05570	178	171	208	152	103	92	105	167	115
AT3G05575	0	4	6	0	0	5	1	3	4
AT3G05580	425	524	420	656	1090	663	1690	1031	1522
AT3G05585	0	0	0	0	0	0	0	0	0
AT3G05590	9071	6576	6714	3208	2591	1689	3634	5914	3045
AT3G05595	0	0	0	0	0	0	0	0	0
AT3G05600	331	48	297	48	21	14	0	38	0
AT3G05605	0	0	0	0	0	0	0	0	0
AT3G05610	0	0	1	305	0	19	0	0	0
AT3G05620	28	12	8	6	16	4	10	11	6
AT3G05625	573	363	489	494	417	457	521	561	513
AT3G05630	157	660	583	120	86	119	87	39	130
AT3G05635	2	1	0	0	0	0	0	2	2
AT3G05640	968	952	1133	1415	1575	1108	7134	6533	9216
AT3G05645	0	0	0	0	0	0	0	0	0
AT3G05650	785	758	391	169	329	183	1079	1105	551
AT3G05655	0	0	0	0	0	0	0	0	0
AT3G05660	267	312	248	117	98	93	1776	1101	742
AT3G05665	0	0	0	0	0	0	0	0	0
AT3G05670	671	1057	836	953	1210	964	1593	1195	1540
AT3G05675	215	194	212	107	60	90	58	84	50
AT3G05680	2026	2269	2221	1437	1885	1515	1159	1260	1191
AT3G05685	98	62	97	15	27	8	18	28	11
AT3G05690	144	168	158	136	52	121	38	23	33
AT3G05695	0	0	0	0	0	0	3	0	1
AT3G05700	245	237	229	180	162	154	169	219	200
AT3G05705	0	0	0	0	0	0	0	0	0
AT3G05710	732	747	753	612	368	415	685	726	686
AT3G05715	3	4	1	0	1	1	0	3	0
AT3G05720	2	3	8	1	9	1	3	4	5
AT3G05725	0	0	0	18	0	0	0	0	0
AT3G05727	163	0	771	0	0	0	0	0	0
AT3G05730	883	562	1092	648	1376	826	1458	2605	1616
AT3G05735	0	8	0	0	0	0	0	0	0
AT3G05740	147	54	69	20	31	21	46	72	36
AT3G05741	1	1	0	2	2	0	0	0	0
AT3G05745	0	0	0	0	0	0	0	0	0
AT3G05746	0	0	0	1	0	0	0	0	0
AT3G05750	392	193	256	216	206	154	49	147	67
AT3G05755	0	0	0	0	0	0	0	0	0
AT3G05760	450	531	551	336	338	240	241	357	321
AT3G05765	0	0	0	0	0	0	0	0	0
AT3G05770	37	39	40	22	12	11	14	19	23
AT3G05775	0	0	0	0	0	0	0	0	0
AT3G05780	0	0	0	7	0	4	0	0	0
AT3G05785	0	0	0	0	0	0	0	0	0
AT3G05790	45	27	30	36	26	35	10	4	12
AT3G05795	0	0	0	0	0	0	0	0	0
AT3G05800	254	260	778	427	323	96	1255	924	1084
AT3G05805	0	0	0	0	0	0	0	0	0
AT3G05810	353	234	275	126	111	55	117	199	84
AT3G05815	0	0	0	1	0	0	0	0	0
AT3G05820	13	22	16	10	6	6	17	14	11
AT3G05825	0	0	0	0	0	0	0	0	0
AT3G05830	99	94	106	122	105	87	238	189	246
AT3G05835	0	0	0	0	0	0	0	0	0
AT3G05840	1672	2189	1961	2458	2130	2247	2624	1817	3296
AT3G05845	86	87	124	108	84	57	24	50	76
AT3G05850	572	764	699	383	295	354	544	501	485
AT3G05855	1	0	1	1	0	0	0	4	0
AT3G05858	0	0	4	1	0	0	0	0	0
AT3G05860	0	0	0	0	0	0	0	0	0
AT3G05870	653	435	762	371	296	366	220	545	389
AT3G05880	3887	2536	4725	1869	1658	1711	1360	2723	2759
AT3G05885	0	0	4	1	1	0	0	1	0
AT3G05890	40	34	52	7	15	9	28	108	53
AT3G05895	0	0	0	0	0	0	0	0	0
AT3G05900	6924	3672	7391	3339	2364	3176	815	1883	1552
AT3G05905	7088	3741	7546	3402	2448	3267	836	1904	1579
AT3G05910	5058	2817	4614	3291	2740	2440	1782	2864	2335
AT3G05915	0	0	0	0	0	0	0	0	0
AT3G05920	0	0	0	2	4	0	0	0	0
AT3G05925	0	1	3	0	0	0	0	0	1
AT3G05930	160	124	184	163	70	124	42	75	102
AT3G05932	513	407	507	443	177	343	109	182	204
AT3G05935	359	297	307	298	111	214	67	122	108
AT3G05936	105	226	143	360	64	227	83	30	161
AT3G05937	98	421	302	194	150	160	102	32	102
AT3G05940	277	306	343	272	149	258	121	217	186
AT3G05945	292	234	368	100	80	81	58	216	81
AT3G05950	0	0	2	0	0	0	0	0	1
AT3G05955	1	5	4	10	3	11	7	4	3
AT3G05960	0	0	0	0	0	0	0	0	0
AT3G05965	0	0	0	0	0	0	0	0	0
AT3G05970	1711	2828	2281	1288	1212	1147	1278	1188	1405
AT3G05975	0	0	2	0	0	0	0	0	0
AT3G05980	120	14	92	4	4	0	6	65	8
AT3G05985	0	0	0	0	0	0	0	0	0
AT3G05990	449	504	512	397	350	362	251	207	257
AT3G05995	3	2	1	3	3	0	0	0	0
AT3G06000	0	0	0	0	0	0	0	0	0
AT3G06010	918	992	1029	683	654	678	400	479	483
AT3G06015	0	0	0	0	0	0	0	0	0
AT3G06019	0	4	0	2	5	2	4	24	5
AT3G06020	72	28	36	16	56	10	99	278	70
AT3G06025	0	0	0	0	0	0	0	0	0
AT3G06030	632	145	289	49	48	21	95	151	64
AT3G06035	561	357	264	75	98	24	224	261	146
AT3G06040	1044	660	898	514	378	338	324	598	298
AT3G06045	15	7	14	13	6	11	3	6	2
AT3G06050	1894	2489	2082	1159	1011	878	1511	1451	1509
AT3G06055	0	0	0	0	0	0	0	0	0
AT3G06060	1042	809	1221	937	685	547	731	1110	770
AT3G06065	0	0	0	0	0	0	0	0	0
AT3G06070	1773	1183	2589	757	453	394	2087	2492	1835
AT3G06075	0	0	0	0	0	0	0	0	0
AT3G06080	3513	3606	4235	3574	1970	2850	1015	2032	1741
AT3G06085	60	91	104	75	40	59	24	51	56
AT3G06090	0	8	2	1	0	0	0	0	0
AT3G06095	0	0	0	0	0	0	0	3	0
AT3G06100	23	15	33	21	28	15	19	42	59
AT3G06105	0	0	0	0	0	0	0	0	0
AT3G06110	443	518	557	478	266	286	183	292	223
AT3G06115	0	0	0	0	0	0	0	0	0
AT3G06120	33	10	37	11	2	0	0	5	0
AT3G06125	587	610	458	450	352	311	251	364	301
AT3G06130	1165	646	964	421	285	203	75	329	113
AT3G06135	0	0	0	0	0	0	0	0	0
AT3G06140	342	115	281	201	202	130	48	101	57
AT3G06145	298	134	347	272	146	180	38	30	56
AT3G06150	1607	1355	2137	1541	822	910	1280	1713	1619
AT3G06155	0	0	0	0	0	0	0	0	0
AT3G06160	136	28	43	72	52	28	11	43	22
AT3G06165	0	0	0	0	0	0	0	0	0
AT3G06170	1216	2337	2147	1593	1454	1722	1128	1008	1410
AT3G06180	216	249	232	136	107	145	118	138	204
AT3G06185	0	0	0	0	0	0	0	0	0
AT3G06190	1417	1383	1466	984	1020	966	1294	1204	1358
AT3G06200	429	513	580	325	268	289	243	282	252
AT3G06205	0	0	0	0	0	0	0	0	0
AT3G06210	520	629	631	566	402	599	194	339	311
AT3G06215	0	0	0	0	0	0	0	0	0
AT3G06220	57	14	26	25	11	9	13	7	7
AT3G06225	0	0	0	0	0	0	0	0	0
AT3G06230	0	0	0	0	0	0	0	0	0
AT3G06235	0	0	0	0	0	0	0	0	0
AT3G06240	443	732	548	392	284	245	375	428	334
AT3G06245	0	0	0	0	0	0	0	0	0
AT3G06250	706	592	580	496	399	415	402	478	323
AT3G06255	0	0	0	0	0	0	0	0	0
AT3G06260	6	4	8	58	4	6	0	8	8
AT3G06265	0	0	0	0	0	0	0	0	0
AT3G06270	305	581	495	348	358	305	359	429	422
AT3G06275	0	0	0	0	0	0	0	0	0
AT3G06280	0	0	0	0	0	0	0	0	0
AT3G06285	0	0	0	0	0	0	0	0	0
AT3G06290	1549	1860	1684	1083	1075	1165	843	966	900
AT3G06295	0	0	0	0	0	0	0	0	0
AT3G06300	478	862	366	315	285	220	542	438	422
